text,date,sentiment
The queue for what? It’s a joke! Contact form. Cash refund queue. Emails. Tweets. DM. And what’s up? No refund for me after weeks!! Booking OBHN7X,2020-04-27 11:33:55,2
Cash refund queue. Emails. Tweets. DM. And what’s up? No refund for me after weeks!! Booking OBHN7X,2020-04-27 11:29:55,1
"Hi , I applied for a refund one month ago and I received an email offering a voucher as reported the last week by lot of customers and . I do not want a voucher but a refund (which I already applied for !).",2020-04-27 11:26:51,0
: To anyone hoping to get a refund from .. this is the bullsh*t response I got. I paid for a service that you failed to…,2020-04-27 11:23:10,2
": I'm writing my will tomorrow, to my unborn child. I'm leaving my refunds from and if they arrive in his/…",2020-04-27 11:21:36,2
": I'm writing my will tomorrow, to my unborn child. I'm leaving my refunds from and if they arrive in his/…",2020-04-27 11:21:12,1
: To anyone hoping to get a refund from .. this is the bullsh*t response I got. I paid for a service that you failed to…,2020-04-27 11:18:45,0
has anyone else only been told they can reschedule their flight within the next months (and will need to pay the difference) and not even been given the option for a refund???,2020-04-27 11:18:41,2
: To anyone hoping to get a refund from .. this is the bullsh*t response I got. I paid for a service that you failed to…,2020-04-27 11:12:13,1
"Filed a sec chargeback request today with credit card company will see what happens. It's a disgrace the way are behaving, I for one will never book with them again and would not be sorry to see them fold",2020-04-27 11:06:56,2
"Find Ryanair of Ireland Help &amp; Information - Here We List The Customer Service Phone Number, Company Contact Location &amp; Ryanair Email Address &amp; Social Media &amp; Flight Status.",2020-04-27 11:04:03,1
is anyone actually staffing on line help... I have been awaiting now three hours since I logged on and sent message,2020-04-27 10:59:45,1
: Michael O'Leary claims people dont understand the refund issue. I was very willing to wait months for my refund but then…,2020-04-27 10:57:58,0
Michael O'Leary claims people dont understand the refund issue. I was very willing to wait months for my refund but then you sent me a voucher with no easy way to re-request my refund. Now I'm not happy. I put it to you that you dont understand your customers,2020-04-27 10:52:16,0
: To anyone hoping to get a refund from .. this is the bullsh*t response I got. I paid for a service that you failed to…,2020-04-27 10:52:05,2
: To anyone hoping to get a refund from .. this is the bullsh*t response I got. I paid for a service that you failed to…,2020-04-27 10:50:57,2
": I'm writing my will tomorrow, to my unborn child. I'm leaving my refunds from and if they arrive in his/…",2020-04-27 10:49:59,2
": Just so people are aware if you are hoping to get a cash refund from Ryanair, contact them via Facebook messenger, they h…",2020-04-27 10:37:30,1
Maybe can help elain its members position?? Cc,2020-04-27 10:36:09,2
your customer care is pathetic. Your bots don’t work! You are trying to force your customers to a accept a travel voucher instead of a cash refund from a cancellation. By law a refund should be paid out within days. passengercomplaints.co.uk,2020-04-27 10:23:08,2
So I’ve been waiting now for hours yesterday and so far today to get through to the “alleged” agents behind your chat bots.... how much longer am I supposed to wait?,2020-04-27 10:22:40,0
: Message to regarding refunds.,2020-04-27 10:18:39,1
"Just so people are aware if you are hoping to get a cash refund from Ryanair, contact them via Facebook messenger, they have an automatic service that will add you the the refund queue (again) must quicker than email or calling them,",2020-04-27 10:15:41,2
Cash refund queue?? And what’s up? No refund for me after weeks!! Booking OBHN7X,2020-04-27 10:14:19,0
I will continue to resend my DM to you everyday until I get a response that it is in the queue to be processed. I have sent them as requested from other people's tweets you have replied to. Just acknowledge and reply.,2020-04-27 10:11:56,2
"*I agree; sometime ( ) will have to get involved. Why are they doing this? Because (261/2004 - Art says) ""Passengers shall be offered a choice between.."" - Cleverly, offer choice*",2020-04-27 10:02:00,1
- crossing the line between hard nosed and immoral as usual. Making it impossible to get a refund on our flights to Italy despite the flight being cancelled.,2020-04-27 10:01:47,1
is enough if I send an Email for the to the address in the image or have I to send a letter? I have already sent a complaint about the transaction to the bank since I did not receive the service and I am entitled to a refund.,2020-04-27 09:52:19,2
": seeking . Oh, the irony. O'Leary Considers Taking The EU To Court Over Bailouts …",2020-04-27 09:52:08,0
": cancelled my flights (fine) invited me to apply for a refund, a month later emailed me a voucher saying I could hav…",2020-04-27 09:50:42,1
: Message to regarding refunds.,2020-04-27 09:43:27,1
: Hello Ryanair it’s me again! Day in quarantine trying to get through Ryanair customer support.. will I succeed... …,2020-04-27 09:40:48,1
": seeking . Oh, the irony. O'Leary Considers Taking The EU To Court Over Bailouts …",2020-04-27 09:39:41,2
"Same story...requested refund, got voucher, can’t get through to anyone...SORT IT OUT!!!",2020-04-27 09:39:18,0
: Message to regarding refunds.,2020-04-27 09:31:29,2
: Hello Ryanair it’s me again! Day in quarantine trying to get through Ryanair customer support.. will I succeed... …,2020-04-27 09:31:24,2
": seeking . Oh, the irony. O'Leary Considers Taking The EU To Court Over Bailouts …",2020-04-27 09:24:05,2
: Hello Ryanair it’s me again! Day in quarantine trying to get through Ryanair customer support.. will I succeed... …,2020-04-27 09:23:27,1
: Message to regarding refunds.,2020-04-27 09:23:18,0
: Hello Ryanair it’s me again! Day in quarantine trying to get through Ryanair customer support.. will I succeed... …,2020-04-27 09:17:18,0
: Message to regarding refunds.,2020-04-27 09:15:48,1
: Hello Ryanair it’s me again! Day in quarantine trying to get through Ryanair customer support.. will I succeed... …,2020-04-27 09:10:46,2
When is a 'refund' not a refund. When it's of course! My promised refund has now turned into the 'recommendation' of a 'refund voucher'. I don't want this. I don't want to fly with . I simply want my money back. It's not difficult.,2020-04-27 09:00:44,2
"If flights for up to and including the th May have not been cancelled, when do you eect to make a decision?? /2",2020-04-27 08:53:25,0
"Could you confirm if you have cancelled flights up to and including th May, please? have said on their app and website it has been cancelled but when I DM’d them they said it hasn’t been cancelled. This is ! /2",2020-04-27 08:53:25,1
can you come back to my DM and mails? I've sent you all the details but reply. On the chatbox for hours &amp; also nothing. Why can you be on Twitter telling ppl to DM you when you can't reply the actual DM's? This is becoming more of a,2020-04-27 08:51:49,2
: Message to regarding refunds.,2020-04-27 08:42:02,1
: Message to regarding refunds.,2020-04-27 08:37:18,2
: Hello Ryanair it’s me again! Day in quarantine trying to get through Ryanair customer support.. will I succeed... …,2020-04-27 08:36:26,0
"Whenever I call I am being told that the agents are busy and to call back later, not even the option to stay on the line?! Making it so difficult to get a refund",2020-04-27 08:11:05,0
Went to web page asked for money got to ‘chat’ to a robot that didn’t bring any joy. So applied for a voucher which they say they would email. That was over a week ago and I’ve still not had it!! Furious with then,2020-04-27 07:47:54,1
"boss tells the Irish Independent - the airline could resume % of flights in July, eects face masks &amp; temperature checks to become a fixture of air travel, and says refunds could take up to three months to process.",2020-04-27 07:45:12,0
I applied for cash refund didn’t get it so applied for voucher still haven’t got that either! Was supposed to fly th April . On the phone again to them per minute and still no one to speak too!!,2020-04-27 07:45:04,2
Meloneras Gran Canaria (Before lockdown),2020-04-27 07:34:26,2
: Message to regarding refunds.,2020-04-27 07:29:17,0
"Could you please tell me when will I get my refund ? I have applied for my money back for over a month ! Other people got an email that they will get a voucher instead. I have sent you a DM, tried to call but to no avail.",2020-04-27 07:24:39,2
"Hello, can you help me to get in contact with someone for my refund request? I don't want to use the voucher option as weeks ago my request for a refund was supposed to be confirmed",2020-04-27 07:22:14,2
"looking for assistance please, I’ve been on hold to chatbot waiting to chat with an agent since am &amp; just got booted out, is there another way to inform you that I cannot accept the vouchers you’ve offered &amp; want to proceed with my refund claim?",2020-04-27 07:19:06,2
: Publicly slating Virgin Atlantic (among others) for not being fit to operate whilst using his own customers money (illeg…,2020-04-27 06:55:45,0
: I'm taking bets on how long you think I'll be on hold to for as they have taken away the ability…,2020-04-27 06:55:32,2
: Message to regarding refunds.,2020-04-27 06:55:06,2
: Message to regarding refunds.,2020-04-27 06:44:58,2
"Another example of not refunding. It cancelled my flights, so I requested a cash refund a month ago. It said times it was processing this. It emailed me a travel voucher, which I don’t want, I want a refund. Ryanair preventing me from getting this refund.",2020-04-27 06:29:54,0
"I requested a cash refund a month ago, times you said you were processing this. Last week you emailed me a travel voucher. I don’t want the voucher, I want the refund I have requested. When will you pay the refund you have already promised me?",2020-04-27 06:09:41,1
: Message to regarding refunds.,2020-04-27 05:22:08,2
: Message to regarding refunds.,2020-04-27 05:21:14,0
: any one else been fucked by Ryanair,2020-04-27 05:18:13,0
: Message to regarding refunds.,2020-04-27 05:18:01,0
: Message to regarding refunds.,2020-04-27 05:08:58,1
: . Drop a pic of your first plane ride in honor of the employees that have lost tho…,2020-04-27 01:04:00,1
Hello . Tweet . DM. Waited for your twatbot. Want a refund not a voucher. Add me to the waiting list and acknowledge me please.,2020-04-27 00:41:59,1
": The CEO of , one of the world's biggest airlines, says it won't fly if have to stay empty for 'idiot…",2020-04-26 23:47:13,1
: So after waiting over a month after requesting a REFUND from just received a VOUCHER Never requested this!!! Dis…,2020-04-26 23:40:58,2
"The CEO of , one of the world's biggest airlines, says it won't fly if have to stay empty for 'idiotic' } rules",2020-04-26 23:39:15,0
": To everyone wanting their money instead of a voucher- save your energy, don’t contact Ryanair, cal…",2020-04-26 23:27:08,0
I have been calling and emailing but there is no response or no one available to talk to. I alsof send a DM on Twitter. Can someone please contact me and help me to get the refund (2/2),2020-04-26 23:24:56,2
"Hi, our flight was canceled and we are offerd a cash refund. Unfortantly we didn't get a cash refund but a voucher. I see that a lot of people are having this problem. I would like a cash refund and not a voucher. (1/2)",2020-04-26 23:21:38,2
": To everyone wanting their money instead of a voucher- save your energy, don’t contact Ryanair, cal…",2020-04-26 23:19:24,1
": , , . You owe me a refund! You know you have to pay. So quit the delay tactics. I DO NOT…",2020-04-26 23:11:51,0
": I'm writing my will tomorrow, to my unborn child. I'm leaving my refunds from and if they arrive in his/…",2020-04-26 22:35:40,0
: Message to regarding refunds.,2020-04-26 22:35:08,0
": your cash refund service is a joke. I dont want a voucher. I'd like a cash refund. you say you offer it, but t…",2020-04-26 22:33:30,1
": This crook Michael O’Leary, having the irony of criticising Virgin Atlantic when he’s holding on to millions of pounds o…",2020-04-26 22:22:31,1
"I'm writing my will tomorrow, to my unborn child. I'm leaving my refunds from and if they arrive in his/her lifetime plus interest for the not agreed upon loan! Let's say ,000% A.P.R. He/she should be able to retire if these C remember what the law means!",2020-04-26 22:14:16,0
. Drop a pic of your first plane ride in honor of the employees that have lost thousands of jobs. Montreal to Rome,2020-04-26 22:08:55,0
": seeking . Oh, the irony. O'Leary Considers Taking The EU To Court Over Bailouts …",2020-04-26 22:08:22,2
": seeking . Oh, the irony. O'Leary Considers Taking The EU To Court Over Bailouts …",2020-04-26 21:48:40,2
": I’ve ALWAYS admired/respected ⁦⁩. I bought his . He started with only £1,000. But ha…",2020-04-26 21:39:29,2
