text,date,sentiment
"I’m having the exact same issue. Wizzair cancelled my LON-BUD flight, but not my BUD-LON flight, meaning I had to cancel it myself and they charged me €80 cancellation fee. It is truly shameful for them to capitalise on this",2020-04-27 11:56:44,2
"flight for June was cancelled on Thursday, called them Friday, money back in my account today, well done . Flights with and shame on you still waiting for refund for flights cancelled by you mid march!",2020-04-27 11:53:31,1
wooooowwww thats really bad!,2020-04-27 11:52:58,0
: . a likely winner when the dust settles on the industry crisis. Let’s see how this early re…,2020-04-27 11:44:42,1
From st May plans to reinstate flights to some destinations from,2020-04-27 11:40:15,2
": -based low-cost carrier announced it would restart, on Friday, between and destination…",2020-04-27 11:25:57,0
": ""Please be aware that your original seat choice(s) is/are not available because the type of aircraft booked for…",2020-04-27 11:23:50,1
Ok thanks team. Stay safe,2020-04-27 11:21:44,1
"""Please be aware that your original seat choice(s) is/are not available because the type of aircraft booked for your flight has changed. We apologise for the inconvenience."" - Show's you're desperate to not cancel the flight but are happy to replace it with a new plane?",2020-04-27 11:19:34,0
Aren't you guys having special provision for cancellation give the current scenario? All other airlines like Ryanair and easyJet are accommodating customers,2020-04-27 11:18:29,1
"This has become a chore to get what's rightfully ours back, you cannot pocket our money and think you can walk away without consequences! We have a flight on the st! This Friday! - We're still on Lockdown! The ENTIRE UK is on Lockdown! - This is theft!",2020-04-27 11:06:00,2
: My reference for my email is 'f7e807b8' Other airlines have the decency to refund Holiday goers. You are greedy during a ti…,2020-04-27 11:01:07,2
"My reference for my email is 'f7e807b8' Other airlines have the decency to refund Holiday goers. You are greedy during a time of crisis. I have friends travelling as well and we all demand answers! If we do not, we will take this further. I",2020-04-27 10:59:09,0
'We have taken that into account' when i discussed UK residence who cant travel. What you are doing is a quick money grab. charging customers % even more to get money back. I will keep calling and tweeting till i get an answer. Before you say to email. I have emailed.,2020-04-27 10:59:08,1
Please know that i have had people hang up on me to get an answer to this question. You are purposely ignoring government guide lines for UK residence not to travel and charging people who cant travel a fee for cancellations! I have a quote from an agent that says...,2020-04-27 10:59:08,1
"Hi, give me a follow and I'll drop you a DM re Martin Lewis",2020-04-27 10:51:36,0
Thank you ️,2020-04-27 10:45:42,2
Thanks wizz most helpful. I had a sensitive request and wonder if you send via DM also. No problem if not possible. Thanks v much again fir your assistance,2020-04-27 10:43:18,0
hello. Flights TFS-VIE Starting May nd? And then every Tue and Sat. Is that confirmed? Thanks,2020-04-27 10:31:23,1
Can I email or DM? £1.45 a minute to call,2020-04-27 10:30:09,1
"I would like to request an update for flight W6 . As Romanian government guidance clearly states lock down measures will be eased from May th, I don't understand what is waiting for, without wizzflex, I am essentially gifting you £250 in cancellation fees",2020-04-27 10:28:58,2
Thats the issue... BER to BUD is Ryan Air and the return is with WizzAir. Can you help in this regard? We cannot travel as visas are suspended due to,2020-04-27 10:23:52,1
"Ah our flight was over a year ago so it’ll have eired sadly If we book we will travel with a baby (2 years old) - does he have items included in his ticket eg. Pram, cot etc? Many thanks again.",2020-04-27 10:12:13,2
"I'm worried that the IBAN number and SWIFT code I entered weren't unique to me though, they are the generic numbers for Barclaycard credit cards, so when you send them the money how will they know it's for my credit card?",2020-04-27 10:11:22,2
Can I have a response to this please. I'm worried the money won't find it's way to me,2020-04-27 10:03:01,1
"Low-cost airline (WIZZ.L) said it would restart some flights from London’s on May , becoming one of the first European carriers to begin restoring services that have been halted during the…",2020-04-27 09:55:58,1
": Hi Amanda, Sorry to read that you have issues managing your cancellation. Could you please provide your bo…",2020-04-27 09:49:28,0
hey Wizz air. I’m interested to book a flight to Macedonia with you. Can you please DM / check with me if my wizz membership is still valid - from a previous booking with you? Many thanks,2020-04-27 09:48:20,0
"Hi Amanda, Sorry to read that you have issues managing your cancellation. Could you please provide your booking reference and we will request the refund for you? Thanks in advance ^CS",2020-04-27 09:43:01,2
"I see. When would you know for sure? on the actual day? as we need to book domestic flights as well to ben-gurion. Just not sure what it means ""Confirmed"". Thanks for your time.",2020-04-27 09:39:44,1
Says on the image above. Luton to Larnaca Friday st May,2020-04-27 09:37:56,1
Where from and to ?,2020-04-27 09:35:16,0
: I paid by debit card. I will have to find my travel insurance to find out. I'm at work…,2020-04-27 09:34:30,1
": the cancellation request is due to extraordinary causes, with which I would be entitled to a refund, since I cann…",2020-04-27 09:33:35,1
"That'll be helpful for sure, but before buying the tickets, I would like to know the conditions. Where can I see them in advance?",2020-04-27 09:33:22,1
: tell me from that they do not refund the money for my flight from Madrid to Romania (at the…,2020-04-27 09:32:52,0
: We have a similar issue with our flights from Buda to Berlin on May . The one to…,2020-04-27 09:32:17,2
: need status for flight from Budapest to Berlin on May ... The flight from Berlin to Bud for May1 (Ryanair) was c…,2020-04-27 09:30:52,0
Airlines were forced to cancel flights altogether from to April. Most flights departing (211) and arriving (188) were cancelled in France️ Apply for a % ticket refund,2020-04-27 09:29:48,0
"Hi, I received several emails with information about my canceled flight and I've attempted more than times ""successfully"" to request my WizzCredit. Every single time its not reflected in the profile. I've waited the requested time and i keep seeing my scheduled trip.",2020-04-27 09:28:23,2
I paid by debit card. I will have to find my travel insurance to find out. I'm at work all this week &amp; don't have time for this. Stressful enough handling Covid positive patients but this is just affecting me so much no one is helping! Don't know to check in or cancel or what?,2020-04-27 09:23:00,0
This is just disgusting! You’re not the only airline that had to cut back. Everyone is in this pot.,2020-04-27 09:21:19,1
"Thanks for letting me know. So are we safe to book it? we need to travel a long way to the airport &amp; if the flight won't go ahead we will have no where to stay and won't be able to get back to our rented accommodation. Eilat is in a full lock down, only residents can get back in.",2020-04-27 09:21:08,2
"I know, I don't need another stock answer. You're forcing the burden on to passengers &amp; it's disgusting. It's illegal to fly into/out of Hungary right now, so your flights are empty but you pretend they're still operating. You are 's ""worst example"". Congratulations.",2020-04-27 09:20:48,0
Can you use your travel insurance or did you pay by credit card?,2020-04-27 09:19:17,0
"the cancellation request is due to extraordinary causes, with which I would be entitled to a refund, since I cannot enter the country or go to the hotels.",2020-04-27 09:18:39,0
"tell me from that they do not refund the money for my flight from Madrid to Romania (at the end of May) if they do not cancel. If in Romania they do not allow Spaniards to enter due to the crisis, am I legally entitled to a refund?",2020-04-27 09:15:52,2
We have a similar issue with our flights from Buda to Berlin on May . The one to reach Bud on May1 is cancelled so cant use the return flight. Also visas are suspended so cant travel at all. Pls help!,2020-04-27 09:14:27,1
: I have a flight with from Budapest to London on th May. Wizz are charging €60 to cancel even thought nobody can…,2020-04-27 09:13:30,1
but they don't let Spanish citizens travel,2020-04-27 09:12:53,1
need status for flight from Budapest to Berlin on May ... The flight from Berlin to Bud for May1 (Ryanair) was cancelled and hence cannot use the return. Kindly assist.,2020-04-27 09:12:41,0
"hi, could you please DM? I would like to check with you re flight number W9 on rd May. Thanks.",2020-04-27 09:10:34,1
"I have a flight for two people on May from Madrid to Romania (Cluj). Given the current situation in Spain, we are reimbursed the money, right?",2020-04-27 09:09:58,0
"-based low-cost carrier announced it would restart, on Friday, between and destinations. Including: Bratislava, Kosice, Budapest, Tenerife, Tel Aviv, Belgrade and eight cities in Romania.",2020-04-27 09:08:35,0
: Can you PLEASE help ?? Every other airline is at least contacting passengers. are stati…,2020-04-27 09:06:43,2
Is this what you want to see happening after your insane plan to reopen the skies to Wizz Air and air travel across Europe this week? This was a live screen grab from FR24 on March th. IS THIS REALLY WHAT YOU WANT?,2020-04-27 08:59:44,1
PLEASE PLEASE we need your help urgently on this one. You are out LAST HOPE.,2020-04-27 08:50:10,2
: I have a flight with from Budapest to London on th May. Wizz are charging €60 to cancel even thought nobody can…,2020-04-27 08:50:00,1
I am also meant to be on that same flight! I've heard nothing from apart from still asking me to check in on their app. How can we fly when we're not allowed? Do we wait to hear from them or cancel now? I seriously don't know what to do. Please keep in touch.,2020-04-27 08:49:14,1
I have a flight with from Budapest to London on th May. Wizz are charging €60 to cancel even thought nobody can take it. (Flight out is with on th May &amp; they're cancelling on weekly basis). Is this legal? How do I get a full refund ?,2020-04-27 08:47:51,1
Why are you reopening routes already? Who on earth authorised you to do that? Only the most essential workers (ie. scientists and medical workers) and freight should be traveling. You are putting profit over OUR safety and we will never forget this. Pure greed.,2020-04-27 08:40:47,0
"It’s ridiculous that they’d rather your money even if it prolongs this virus. We shouldn’t even going abroad for a while, cross contamination will happen and lives will be lost.",2020-04-27 08:34:17,2
: Can you PLEASE help ?? Every other airline is at least contacting passengers. are stati…,2020-04-27 08:31:35,0
Can you PLEASE help ?? Every other airline is at least contacting passengers. are stating flights still leaving means you won't get your money back &amp; if YOU cancel they're charging us €80!!,2020-04-27 08:27:33,2
I can't get any response from The app is asking me to check in &amp; they are still selling seats but obvs can't go. Every other airline has informed their passengers at least. They have £300 of our money &amp; no decency to even tell us what's happening,2020-04-27 08:22:52,1
": Alternatively, passengers could also opt for a full-cash refund of the initially paid tariff, promised within days of canc…",2020-04-27 08:21:59,1
": As talks of restarting Eurozone service, just a note that it faces huge liabilities for its refusal to issue refunds…",2020-04-27 08:21:01,0
"My mum got a message from the company she was gonna fly with; offering cheap flights rn, they’re really desperate rn for whatever reason; not to fail!",2020-04-27 08:20:21,1
"Alternatively, passengers could also opt for a full-cash refund of the initially paid tariff, promised within days of cancellation. Analysts made multiple attempts to seek clarification of the total amount of the requested full-cash refunds. didn't return calls…",2020-04-27 08:16:45,2
