text,date,sentiment
": Czy jest Pani/Pan za tym, aby wszędzie, gdzie samorząd odmówi wydania list wyborców Poczcie polskiej, ograniczając w ten sp…",2020-04-27 12:04:37,1
Czy wybory powinny odbyć się ?,2020-04-27 12:03:42,1
: 🇵🇱 ️ dlatego DOMAGAM SIĘ przestrzegania mojego prawa do oddania głosu w wybo…,2020-04-27 12:02:54,1
".: ""Konstytucyjnie muszą się odbyć. Nie możemy sobie w tej chwili pozwolić na łamanie konstytucji."" Czyli wcześniej mogli sobie pozwolić, dlatego ją łamali. Logiczne.",2020-04-27 12:00:24,2
": Czy jest Pani/Pan za tym, aby wszędzie, gdzie samorząd odmówi wydania list wyborców Poczcie polskiej, ograniczając w ten sp…",2020-04-27 12:00:17,1
: Procedura karna nie mówi o minimalnym czasie trwania śledztwa. …,2020-04-27 11:59:22,2
": Czy jeśli zaczęło realizować ustawę, której jeszcze nie przyjęto, to czy to oznacza, że pary jednopłciowe mogą n…",2020-04-27 11:58:24,2
": dni do W intencji Pana Prezydenta Andrzeja Dudy i w intencji Ojczyzny""pod Twoją obronę Matko n…",2020-04-27 11:58:02,1
": Czy jest Pani/Pan za tym, aby wszędzie, gdzie samorząd odmówi wydania list wyborców Poczcie polskiej, ograniczając w ten sp…",2020-04-27 11:55:47,1
": Czy jest Pani/Pan za tym, aby wszędzie, gdzie samorząd odmówi wydania list wyborców Poczcie polskiej, ograniczając w ten sp…",2020-04-27 11:52:15,1
": . () w : zajmuje się tylko tym, żeby zupełnie nielegalnie przełożyć …",2020-04-27 11:51:32,2
": Czy jest Pani/Pan za tym, aby wszędzie, gdzie samorząd odmówi wydania list wyborców Poczcie polskiej, ograniczając w ten sp…",2020-04-27 11:49:32,2
Uwaga uwaga!!! Do wszystkich Platfusów i platfusowych samorządów ważny komunikat od Tuska dla was!,2020-04-27 11:36:00,2
: 🇵🇱 ️ dlatego DOMAGAM SIĘ przestrzegania mojego prawa do oddania głosu w wybo…,2020-04-27 11:35:49,0
: Pompowanie Kosiniaka-Kamysza ... …,2020-04-27 11:35:28,1
: Wybory a patriotyzm ... …,2020-04-27 11:35:25,0
: Konsultacje w Senacie w sprawie wyborów korespondencyjnych. …,2020-04-27 11:34:19,2
: „Wicepremier partii rządzącej kieruje wyborami prezydenckimi. Na litość Boską”.Dla TVN24 prof. Adam Strzembosz. …,2020-04-27 11:32:59,0
Pompowanie Kosiniaka-Kamysza ...,2020-04-27 11:27:43,0
": Jestem ciekaw, czy będą dziś kontynuować liczenie, że to już dni ""przetrzymywania"" ustawy o …",2020-04-27 11:26:37,1
Wybory a patriotyzm ...,2020-04-27 11:25:48,2
Całe obecne zamieszanie to wina Gowina. Choć niektórzy i w tej sytuacji będą zapewne utrzymywać że jednak Tuska.,2020-04-27 11:23:47,0
: Dr Bartłomiej Biskup (politolog): ostrzeżenie Adama Bielana dotyczyło głównie posłów Porozumienia. Jarosław sam…,2020-04-27 11:22:36,2
"Jestem ciekaw, czy będą dziś kontynuować liczenie, że to już dni ""przetrzymywania"" ustawy o przez Senat. Jeśli tak - w zasadzie musieliby pokazać fragmenty dzisiejszych prac, gdzie ustawa została po prostu zmasakrowana przez ekspertów.",2020-04-27 11:20:58,1
": Zwłoka w senacie spowodowała, że wybory odbędą się tradycyjnie. Opozycja chyba tego nie przemyślała bo teraz…",2020-04-27 11:18:31,0
: Konsultacje w Senacie w sprawie wyborów korespondencyjnych. …,2020-04-27 11:17:02,2
": Czy jeśli zaczęło realizować ustawę, której jeszcze nie przyjęto, to czy to oznacza, że pary jednopłciowe mogą n…",2020-04-27 11:16:16,1
"Dr Bartłomiej Biskup (politolog): ostrzeżenie Adama Bielana dotyczyło głównie posłów Porozumienia. Jarosław sam tę presję wywołał. jako członek sztabu Andrzeja Dudy widzi swoje miejsce w PiS, a nie w Porozumieniu. W tej partii jest rozłam",2020-04-27 11:15:02,1
"A czaicie że za dni wybory na głowę Państwa naszej Rzeczypospolitej, a rządzą nami takie Muminki, że wciąż nie wiemy co i jak z tymi wyborami",2020-04-27 11:12:30,0
"️ Wybory : W Niemczech zarejestrowało się do głosowania do teraz obywateli polskich, którzy chcą zagłosować w jednym z okręgów konsularnych: Berlinie (936), Hamburgu (627), Kolonii (988) lub Monachium (769).",2020-04-27 11:11:12,2
: Dziś o :30 pod pomnikiem Armii Krajowej odbędzie się konferencja prasowa w sprawie narastającego chaos…,2020-04-27 11:10:33,1
: Konsultacje w Senacie w sprawie wyborów korespondencyjnych. …,2020-04-27 11:08:53,0
: 🇵🇱 ️ dlatego DOMAGAM SIĘ przestrzegania mojego prawa do oddania głosu w wybo…,2020-04-27 11:07:44,2
: 🇵🇱 ️ dlatego DOMAGAM SIĘ przestrzegania mojego prawa do oddania głosu w wybo…,2020-04-27 11:00:55,0
"Wczoraj prezes tłumaczył w zasady korespondencyjnego głosowania w Jeśli do koperty z moim głosem mam dodać oświadczenie imienne, że faktycznie ""ja to ja"", czyli, że mam prawo głosu, to przepraszam, ale nie biorę w tym udziału.",2020-04-27 10:55:29,1
"Ta Pani nazywa się Milijon, bo za miliony kocha i cierpi katusze",2020-04-27 10:55:26,0
: Popieram!,2020-04-27 10:55:20,0
Konsultacje w Senacie w sprawie To się powinno odbywać przed uchwaleniem każdej ważnej ustawy i być transmitowane w telewizji publicznej (kiedy ją będziemy mieli).,2020-04-27 10:53:52,1
: Taka przypominajka Panowie z czyich list dostaliście się do Sejmu …,2020-04-27 10:53:06,2
: Czytajcie koniecznie!,2020-04-27 10:51:09,1
: Dziś o :30 pod pomnikiem Armii Krajowej odbędzie się konferencja prasowa w sprawie narastającego chaos…,2020-04-27 10:45:40,0
: Taka przypominajka Panowie z czyich list dostaliście się do Sejmu …,2020-04-27 10:41:01,0
"na stanowisku Prezydenta RP to nie tylko gwarancja dbania o Prawa Kobiet, ale także klimat oraz neutralną klimatycznie Polskę!",2020-04-27 10:39:17,1
: Jak PO wygra to dopiero zobaczycie jak bardzo będziecie chcieli aby PiS powrócił. Będziecie mogli się pożegnać z trzyna…,2020-04-27 10:38:39,2
: 🇵🇱 ️ dlatego DOMAGAM SIĘ przestrzegania mojego prawa do oddania głosu w wybo…,2020-04-27 10:37:11,1
": Zwłoka w senacie spowodowała, że wybory odbędą się tradycyjnie. Opozycja chyba tego nie przemyślała bo teraz…",2020-04-27 10:30:05,0
": Zwłoka w senacie spowodowała, że wybory odbędą się tradycyjnie. Opozycja chyba tego nie przemyślała bo teraz…",2020-04-27 10:28:00,2
": Czy jest Pani/Pan za tym, aby wszędzie, gdzie samorząd odmówi wydania list wyborców Poczcie polskiej, ograniczając w ten sp…",2020-04-27 10:27:25,1
: Taka przypominajka Panowie z czyich list dostaliście się do Sejmu …,2020-04-27 10:26:42,1
: Taka przypominajka Panowie z czyich list dostaliście się do Sejmu …,2020-04-27 10:25:33,0
: | Na którego z wymienionych kandydatów oddasz swój głos podczas ? …,2020-04-27 10:25:07,1
: Taka przypominajka Panowie z czyich list dostaliście się do Sejmu …,2020-04-27 10:24:26,0
: Pan Redaktor łopatologicznie wszystko wyjaśnił jak będziemy głosować w …,2020-04-27 10:23:53,0
Procedura karna nie mówi o minimalnym czasie trwania śledztwa.,2020-04-27 10:23:23,1
: gotowa do wyborów,2020-04-27 10:14:33,2
": Czy jeśli zaczęło realizować ustawę, której jeszcze nie przyjęto, to czy to oznacza, że pary jednopłciowe mogą n…",2020-04-27 10:12:04,1
: Jak PO wygra to dopiero zobaczycie jak bardzo będziecie chcieli aby PiS powrócił. Będziecie mogli się pożegnać z trzyna…,2020-04-27 10:08:04,1
"Opzycja na własne życzenie pozbywa się swojego elektoratu. Dają przykład olewania wyborów a potem będą prosić ludzi żeby poszli głosować, czy to teraz czy za lata. Czy tam ktokolwiek jeszcze myśli?",2020-04-27 10:07:54,2
: 🇵🇱 ️ dlatego DOMAGAM SIĘ przestrzegania mojego prawa do oddania głosu w wybo…,2020-04-27 10:04:14,1
": Czy jeśli zaczęło realizować ustawę, której jeszcze nie przyjęto, to czy to oznacza, że pary jednopłciowe mogą n…",2020-04-27 09:58:05,2
": Czytelnicy Wyborczej to jednak lubią ""życie na krawędzi"" ....",2020-04-27 09:56:14,0
": Zagłosuję w maju bez względu na to, czy wybory będą tradycyjne, czy korespondencyjne. Oczywiście zagłosuję na Andrzeja…",2020-04-27 09:50:10,0
": . ostro ws. : ""Trudno zrozumieć, dlaczego polski rząd jest skłonny do ryzykowania życia i zdro…",2020-04-27 09:49:46,1
": Dawno ,dawno temu już Cejrowski miał rację. Może warto po to uczynić.Niec…",2020-04-27 09:48:20,0
"Tyle, że tego odpoczynku nie widać, a nawet można by rzec, że ""wszystkie ręce na pokład w włamaniu konstytucji"".",2020-04-27 09:47:32,1
"Liczba Komisji Obwodowych w powiecie kamiennogórskim: Miasto KG - na Gmina KG - na , Gmina Lubawka - na , Gmina Marciszów- na . zgłosił kandydatów do wszystkich komisji, ale brak wymaganej ilości członków zablokował ich utworzenie.",2020-04-27 09:47:04,1
". ostro ws. : ""Trudno zrozumieć, dlaczego polski rząd jest skłonny do ryzykowania życia i zdrowia Polaków (...). Wzywamy rząd do wdrożenia zapisów Konstytucji i ogłoszenia stanu klęski żywiołowej"".",2020-04-27 09:45:46,1
